FECHA;TASA_GAS;TASA_CONDENSADO;TASA_AGUA;ACUM_CONDESADO;ACUM_AGUA;ACUM_GAS
2023-01-01;38,796031;1226,21;9,38;2468501,5;77080,46;79919,47
2023-01-02;38,961861;1216,16;12,43;2469717,66;77092,89;79958,43
2023-01-03;39,482384;1267,73;8,36;2470985,39;77101,25;79997,91
2023-01-04;37,784051;1329,67;2,19;2472315,06;77103,44;80035,7
2023-01-05;35,826894;1146,62;4,99;2473461,68;77108,43;80071,52
2023-01-06;37,604151;1192,79;76,57;2474654,47;77185;80109,13
2023-01-07;37,756253;1100,39;62,75;2475754,86;77247,75;80146,88
2023-01-08;37,465172;1202,49;29,5;2476957,35;77277,25;80184,35
2023-01-09;37,386244;1213,79;41,19;2478171,14;77318,44;80221,73
2023-01-10;37,578327;1178,8;26,78;2479349,94;77345,22;80259,31
2023-01-11;37,553217;1189,07;26,22;2480539,01;77371,44;80296,87
2023-01-12;37,5431;1173,65;27,02;2481712,66;77398,46;80334,41
2023-01-13;33,53551;1073,82;14,17;2482786,48;77412,63;80367,94
2023-01-14;32,48279;971,46;23,62;2483757,94;77436,25;80400,43
2023-01-15;35,355041;1115,32;25,54;2484873,26;77461,79;80435,78
2023-01-16;37,891019;1222,79;22,39;2486096,05;77484,18;80473,67
2023-01-17;37,708886;1239,96;0,8;2487336,01;77484,98;80511,38
2023-01-18;37,737278;1256,53;19,03;2488592,54;77504,01;80549,12
2023-01-19;37,806486;1266;35,92;2489858,54;77539,93;80586,93
2023-01-20;37,740128;1249,75;21,52;2491108,29;77561,45;80624,67
2023-01-21;35,494093;1155,56;15,82;2492263,85;77577,27;80660,16
2023-01-22;32,206898;954,39;7,03;2493218,24;77584,3;80692,37
2023-01-23;31,402771;980,33;17,62;2494198,57;77601,92;80723,77
2023-01-24;31,178098;944,7;15,75;2495143,27;77617,67;80754,95
2023-01-25;36,53047;1254,51;51,68;2496397,78;77669,35;80791,48
2023-01-26;38,045182;1446,58;18,98;2497844,36;77688,33;80829,52
2023-01-27;38,047653;1203,44;22,25;2499047,8;77710,58;80867,57
2023-01-28;38,055294;1108,98;14,45;2500156,78;77725,03;80905,63
2023-01-29;38,045058;1150,47;14,47;2501307,25;77739,5;80943,67
2023-01-30;37,973304;1208,38;0,46;2502515,63;77739,96;80981,65
2023-01-31;37,713803;1332,46;22,16;2503848,09;77762,12;81019,36
2023-02-01;37,153846;1170,11;0,78;2505018,2;77762,9;81056,51
2023-02-02;28,145065;721,88;38,8;2505740,08;77801,7;81084,66
2023-02-03;37,947657;1078,76;0,01;2506818,84;77801,71;81122,61
2023-02-04;38,066594;1322,35;0,1;2508141,19;77801,81;81160,67
2023-02-05;37,166172;1265,7;0;2509406,89;77801,81;81197,84
2023-02-06;37,448538;1242,84;0,11;2510649,73;77801,92;81235,29
2023-02-07;37,414342;1182,83;0,27;2511832,56;77802,19;81272,7
2023-02-08;37,430276;1094,06;0,89;2512926,62;77803,08;81310,13
2023-02-09;37,456764;1147,55;10,47;2514074,17;77813,55;81347,59
2023-02-10;35,910456;1084,24;3,2;2515158,41;77816,75;81383,5
2023-02-11;44,410453;1430,82;42,31;2516589,23;77859,06;81427,91
2023-02-12;56,491322;1747,16;47,07;2518336,39;77906,13;81484,4
2023-02-13;56,832518;1694,81;54,69;2520031,2;77960,82;81541,23
2023-02-14;57,098551;1768,73;49,52;2521799,93;78010,34;81598,33
2023-02-15;57,155124;1832,07;37,92;2523632;78048,26;81655,49
2023-02-16;57,058851;1826,65;38,84;2525458,65;78087,1;81712,55
2023-02-17;56,849898;1757,56;33,96;2527216,21;78121,06;81769,4
