FECHA;PRESION_CASING_A;PRESION_CASING_B;PRESION_CASING_C;PRESION_FONDO_A;PRESION_FONDO_B;TEMP_FONDO_A;TEMP_FONDO_B;CHOKE;CHOKE_FCV;PRESION_LINEA;PRESION_CABEZAL;PRESION_TUBING
2023-01-01;1127,98;140,73;107,62;3869,56;3866,8;199,19;199;25,86;NULL;1955,512939;3149,85;NULL
2023-01-02;1128,05;139,12;104,69;3869,57;3869,46;199,19;199;25,86;NULL;1963,411743;3150,24;NULL
2023-01-03;1127,32;137,2;100,92;3868,13;3867,69;199,19;199;25,86;NULL;1969,483765;3150,64;NULL
2023-01-04;1126,82;135,71;99,95;3867,73;3867,32;199,22;199;25,8;NULL;1953,411377;3149,55;NULL
2023-01-05;1125,45;132,2;95,89;3879,1;3878,05;199,32;199;24,95;NULL;1954,332764;3160,01;NULL
2023-01-06;1121,79;127,62;93,47;3884,82;3884,75;199,35;199;24,65;NULL;1953,752563;3167,82;NULL
2023-01-07;1122;125,64;92,21;3884,58;3884,02;199,35;199;24,76;NULL;1957,640015;3168,29;NULL
2023-01-08;1123,03;124,55;92,1;3882,33;3881,69;199,35;199;24,95;NULL;1931,074463;3164,73;NULL
2023-01-09;1122,4;122,99;91,39;3882,04;3881,81;199,35;199;24,95;NULL;1946,50708;3165,13;NULL
2023-01-10;1121,87;121,51;90,5;3883,8;3882,4;199,35;199;24,96;NULL;1966,622681;3166,11;NULL
2023-01-11;1121,23;120,14;88,8;3882,57;3882,53;199,35;199;24,96;NULL;1959,854004;3165,88;NULL
2023-01-12;1120,41;118,33;85,88;3882,52;3882,27;199,35;199;24,95;NULL;1955,940186;3165,57;NULL
2023-01-13;1119,86;117,25;86,29;3882,39;3882,06;199,35;199;24,95;NULL;1955,281616;3165,37;NULL
2023-01-14;1108,01;112,12;83,58;3911,4;3910,89;199,56;199;22,74;NULL;1955,356934;3195,39;NULL
2023-01-15;1103,65;108,6;79,84;3923,76;3922,49;199,66;200;21,97;NULL;1958,130005;3207,37;NULL
2023-01-16;1113,35;111,21;81,36;3900,05;3899,97;199,6;200;23,72;NULL;1955,494629;3183,41;NULL
2023-01-17;1120;114,48;84,19;3880,65;3880,55;199,37;199,35;25,05;NULL;1940,137695;3162,76;NULL
2023-01-18;1118,49;113,49;84,85;3880,29;3880,08;199,35;199;25,05;NULL;1953,397095;3162,62;NULL
2023-01-19;1117,42;112,4;84,27;3880,18;3880,12;199,35;199;25,06;NULL;1955,394165;3162,37;NULL
2023-01-20;1116,66;111,29;83,54;3880,15;3880,03;199,35;199;25,06;NULL;1953,602173;3161,58;NULL
2023-01-21;1115,71;109,74;82,26;3880,02;3879,99;199,35;199;25,05;NULL;1953,82373;3161,81;NULL
2023-01-22;1109,41;107,92;80,63;3896,29;3896,25;199,41;199;23,78;NULL;1955,27063;3179,61;NULL
2023-01-23;1099;102,82;75,02;3921,91;3921,88;199,66;200;21,97;NULL;1955,171753;3205,9;NULL
2023-01-24;1100;102,88;75,24;3922,18;3921,96;199,66;200;21,97;NULL;1953,143433;3206,06;NULL
2023-01-25;1100,42;103,13;75,44;3922,41;3922,06;199,68;199,66;21,97;NULL;1955,174438;3206,29;NULL
2023-01-26;1113,81;107,38;79,17;3877,79;3877,65;199,42;199;25,17;NULL;1954,560669;3161,42;NULL
2023-01-27;1115;109,87;82,34;3866,43;3865,02;199,32;199;25,94;NULL;1957,148071;3147,92;NULL
2023-01-28;1114;110,22;82,81;3864,77;3864,64;199,31;199;25,94;NULL;1956,903442;3147,39;NULL
2023-01-29;1112,67;109,65;82,02;3864,72;3864,67;199,3;199;25,94;NULL;1960,593384;3147,16;NULL
2023-01-30;1111,61;108,22;80,71;3864,74;3864,69;199,28;199;25,9;NULL;1961,615234;3148,14;NULL
2023-01-31;1111,52;109,23;82,01;3866,56;3866,45;199,31;199;25,75;NULL;1955,481079;3149,49;NULL
2023-02-01;1111,25;109,67;81,33;3866,29;3865,38;199,31;199;25,75;NULL;1951,664307;3149,38;NULL
2023-02-02;1110,33;107,61;79,76;3868,86;3866,62;199,31;199;25,75;NULL;1983,280151;3150,89;NULL
2023-02-03;935,43;90,95;65,43;3925,69;3924,99;198,95;199;18,13;NULL;1942,115723;3204,37;NULL
2023-02-04;1121,98;115,42;87,88;3866,53;3866,35;199,26;199;25,86;NULL;1977,726318;3149,54;NULL
2023-02-05;1123,5;117,01;89,55;3865;3864,7;199,2;199;25,86;NULL;1958,329224;3148,15;NULL
2023-02-06;1122,14;115,58;88,11;3873,85;3873,48;199,32;199;24,97;NULL;1952,529297;3157,28;NULL
2023-02-07;1121,78;115,15;87,66;3874,55;3874,46;199,34;199;24,95;NULL;1962,593018;3158,41;NULL
2023-02-08;1120,84;114,09;86,5;3874,97;3874,52;199,34;199;24,95;NULL;1964,791382;3158,68;NULL
2023-02-09;1120,27;113,37;85,66;3874,73;3874,55;199,34;199;24,95;NULL;1964,379883;3158,61;NULL
2023-02-10;1119,44;112,14;84,4;3874,57;3874,53;199,34;199;24,95;NULL;1963,716553;3158,22;NULL
2023-02-11;1118,74;111,44;83,67;3873,48;3872,99;199,34;199;24,95;NULL;1936,883667;3156,63;NULL
